iter	Passed	Remaining
0	417	417166
1	825	411986
2	1222	406189
3	1628	405534
4	2021	402325
5	2435	403464
6	2835	402188
7	3237	401420
8	3653	402247
9	4063	402273
10	4472	402160
11	4865	400628
12	5266	399862
13	5671	399461
14	6093	400152
15	6485	398846
16	6885	398120
17	7279	397160
18	7688	396981
19	8094	396643
20	8504	396490
21	8913	396262
22	9319	395875
23	9739	396068
24	10145	395682
25	10546	395105
26	10937	394141
27	11337	393556
28	11735	392923
29	12136	392406
30	12528	391620
31	12931	391167
32	13322	390403
33	13709	389504
34	14097	388678
35	14500	388292
36	14884	387401
37	15278	386793
38	15671	386151
39	16076	385825
40	16465	385129
41	16850	384359
42	17245	383807
43	17640	383277
44	18037	382793
45	18430	382234
46	18816	381535
47	19200	380809
48	19592	380262
49	19987	379766
50	20409	379780
51	20824	379647
52	21228	379310
53	21614	378652
54	22003	378053
55	22399	377584
56	22799	377196
57	23197	376759
58	23585	376160
59	23983	375747
60	24370	375147
61	24764	374666
62	25155	374133
63	25545	373601
64	25931	373017
65	26330	372611
66	26732	372263
67	27122	371738
68	27513	371234
69	27901	370694
70	28299	370281
71	28694	369835
72	29074	369211
73	29463	368688
74	29856	368228
75	30247	367745
76	30628	367147
77	31011	366568
78	31394	366000
79	31785	365529
80	32177	365074
81	32568	364602
82	32951	364053
83	33342	363594
84	33733	363131
85	34120	362625
86	34514	362204
87	34899	361687
88	35280	361131
89	35665	360622
90	36064	360247
91	36467	359916
92	36855	359438
93	37240	358936
94	37624	358426
95	38010	357928
96	38405	357531
97	38798	357104
98	39191	356683
99	39578	356210
100	39970	355774
101	40362	355352
102	40763	354997
103	41147	354503
104	41529	353986
105	41916	353519
106	42315	353154
107	42708	352744
108	43102	352333
109	43497	351931
110	43886	351486
111	44276	351046
112	44670	350641
113	45051	350137
114	45434	349647
115	45825	349225
116	46215	348792
117	46614	348421
118	47009	348029
119	47394	347557
120	47777	347076
121	48167	346644
122	48555	346201
123	48951	345821
124	49345	345415
125	49729	344949
126	50117	344510
127	50504	344058
128	50896	343647
129	51296	343295
130	51680	342827
131	52069	342396
